JX311792	NC;NC_OTU1;
JX537685	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU10;
JX537694	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU10;
JF924525	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU10;
JF924226	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU10;
DQ501167	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU11;
GQ863093	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU11;
DQ501159	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU11;
DQ148617	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU11;
DQ501176	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU11;
JF924289	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU11;
JF924262	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU12;
DQ148817	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU2;
JX537683	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU2;
FJ601555	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU2;
DQ501000	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU2;
JF924266	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU2;
JF924555	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU2;
JF924550	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU2;
DQ148604	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU2;
JF924557	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU2;
JQ750578	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU2;
JX537516	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU2;
GQ863202	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU3;
GU988824	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU4;
GU988841	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU4;
JF924554	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU5;
KF438414	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
DQ501063	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KF438476	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
JX537535	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
JF924694	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KF438628	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KF438440	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
JX537507	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KC735599	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
JF924548	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KF438456	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KF438430	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
DQ501163	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
JF924539	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KF438322	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
GU988840	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KF438607	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
EU025167	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KF413152	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KF413205	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
JF924692	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
JX537524	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
JF924690	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
EU025168	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KC735600	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KF438650	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
KF438636	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
JX537532	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU6;
EU025140	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438239	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438404	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438274	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
JF924702	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438282	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
JF715779	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438317	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
JQ886296	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438320	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438620	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438303	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438285	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438399	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438375	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438299	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
JF924700	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438363	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438276	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438344	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438333	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
JQ886284	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438390	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438352	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438405	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438380	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438604	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438341	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438340	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438295	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438290	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438279	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438237	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438411	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438378	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438260	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438269	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438337	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
EU025157	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
JF924676	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
JQ886286	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
JQ886280	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438312	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438383	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
JF924701	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
JF924689	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438259	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438283	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438263	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
JF924675	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438261	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU7;
KF438616	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU8;
JF924522	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU8;
JF924173	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU8;
KF438600	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU8;
JX537706	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU8;
KF438653	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU8;
KF438597	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU8;
JQ886299	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU8;
KF438638	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU8;
KF438267	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU8;
KF438278	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU8;
JF924552	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU8;
JF924067	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU9;
JF924189	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU9;
GQ863199	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU1;
JX537715	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU2;
JF924187	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU2;
JF924139	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU3;
JF924206	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU3;
JF924543	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU4;
JF924154	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924144	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924082	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924083	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924021	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924224	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924078	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924181	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924100	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924084	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924211	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924215	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JX537728	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924130	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU5;
JF924277	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU6;
JF924075	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU7;
JF924527	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU7;
JF924141	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU7;
JF924135	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU7;
JF924282	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU7;
JF924537	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.1;NP-Alpha-2.1_OTU8;
JF924032	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.1;NP-Alpha-2.2.1_OTU1;
JF924038	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.1;NP-Alpha-2.2.1_OTU2;
JF924796	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.1;NP-Alpha-2.2.1_OTU3;
JX537602	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.1;NP-Alpha-2.2.1_OTU3;
JX537623	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.1;NP-Alpha-2.2.1_OTU3;
JX537593	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.1;NP-Alpha-2.2.1_OTU3;
HM589852	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2_OTU1;
EU239058	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
JN375846	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
AB592052	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
AB703979	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GU181685	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
KC349231	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
FJ615321	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
EU886063	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
JF272625	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GQ500145	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
DQ148761	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GQ500309	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
AB592055	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
EU886021	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
AB592069	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GQ500545	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
KF438664	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GU364094	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GQ500256	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GQ500294	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GQ500543	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GQ500185	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GQ500216	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
EU340494	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GQ500152	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
EU886045	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
JN624357	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
AB591994	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GQ250738	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
JN624382	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
JN624381	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GU181673	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
KJ549562	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
JQ396288	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
KC503217	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
KC503222	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
FJ615320	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
DQ148756	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GU360877	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GU364067	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
JN624344	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
KF970641	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
EU340542	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
FJ615337	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
EU238999	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
FJ615399	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
KC596386	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
KF970681	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
EU340490	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GQ500397	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GQ250722	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
EU886035	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
GU363990	NP;NP-Alpha;NP-Alpha-2;NP-Alpha-2.2;NP-Alpha-2.2.2;NP-Alpha-2.2.2.1;NP-Alpha-2.2.2.1.1;NP-Alpha-2.2.2.1.1_OTU1;
